5	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S 	1
5	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	2
5	C 	D C 	S S S S S D C S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S S S S 	1
5	D D 	D C D C 	C S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S 	1
5	C 	D C 	S S S S S D S S S S S S S S S C S S S S S S S S S D S S S S S S S S S S S S S S S S D S D S S S S S 	1
5	C 	D C 	S S S S S D S S S S S S S S S D S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S 	1
5	D 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C C S S S S S S S S S S S S 	1
5	D 	D C 	S S D S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S C S S S S S S S S S S S S S D 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	5
5	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S 	1
5	D 	D C 	S S S S S S S S S S S S S S S S S S S S C S S D D S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S C S S D S S S S S S 	1
5	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S D S S 	2
5	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S 	2
5	C 	C D 	S S S S S S S S S S S S S S S S S S S S C S C S S S S S S S S S S S S S S S S S S S S S S S S S D S 	1
5	D 	C C 	S S S S S S S S S S S S S S S S S S D S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	2
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	2
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D C S S S S S S S S S S S S S S S S S S 	1
5	D 	D C 	S S S S S S S S S S S D S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S 	1
5	C D 	D C D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
5	C 	C C 	S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S D S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S D S S S C C S S S S S S S C S S S S S S S S S S S S S S S S S S S S S D S S S S S S 	1
5	C 	D C 	S S S S S S S S S S C S S S S C S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S 	1
5	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S D 	1

6	D 	D C 	S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S D S S S S S S S C D S S S 	1
6	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S D 	1
6	C 	D C 	S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	2
6	D C 	D C D C 	C S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S 	1
6	D 	D C 	S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S 	1
6	C 	D C 	S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S 	5
6	C 	D C 	S S S S S S S S S S C S S D S C S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S S S 	1
6	C 	D C 	S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S 	2
6	D 	D C 	S S S S S S S S S S S S S S S C S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S 	2
6	C 	D C 	S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S S D S S S S S S S S 	1
